2011-04-25 21:44:10 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:44:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:44:25 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:44:27 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:44:28 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:46:06 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:46:07 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:46:25 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:46:25 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:49:02 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:49:03 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:49:05 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:51:35 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:51:37 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:51:37 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:51:38 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:51:38 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:51:39 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:51:59 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:52:00 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:52:19 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:52:29 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:53:18 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:53:19 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
